Año,Viral,Popular,Nichero
2021,0.0,111.2,31.9
2022,20.2,49.9,64.6
2023,0.0,39.6,31.0
2024,8.6,22.8,92.3
2025,4.3,68.3,84.7
2026,11.5,12.2,14.0
